,n,t,r,sigma,r_fit,rep,const,loss_true,max_qnorm_ub_true,loss_fit,max_qnorm_ub_fit,gen_err_fit
67,10,3,3,0.1,3,1,5,0.10581270991327409,16.38410360137758,0.10380797849087768,11.605268399178879,0.034902378937862466
68,10,3,3,0.1,3,1,10,0.094177911204432,20.08409387576119,0.09465755351125632,14.400679630607657,0.024360163142293837
69,10,3,3,0.1,3,1,20,0.03760292815738367,18.810649703414875,0.04488046196696988,12.752236859050871,0.021417293958430905
70,10,3,3,0.1,3,1,40,0.2894601618911313,26.450015032493067,0.2771379944521405,17.770352140430386,0.052344260717558315
71,10,3,3,0.1,3,1,80,0.0962374331770275,21.242329824742214,0.09870550944882668,16.10922337712367,0.024325712852593998
72,10,3,3,0.1,3,2,1,0.23957909303098573,45.52044239003431,0.2645773744436286,8.392807467258187,1.1851415511737522
73,10,3,3,0.1,3,2,5,0.19436346068608423,17.74928953462616,0.5036803125826257,76.30651795018188,2.4390728101496713
74,10,3,3,0.1,3,2,10,0.003752168311754071,25.910002954689908,0.007865021606313367,14.058629704646755,0.00466465964631001
75,10,3,3,0.1,3,2,20,0.24918515966212273,19.677074190506616,0.24153005886668488,14.917391004810723,0.044371222170619
76,10,3,3,0.1,3,2,40,0.04905696273306702,22.69629699543542,0.053447137404965234,15.268494386100144,0.01668478047588594
77,10,3,3,0.1,3,2,80,0.25347720032147186,40.796450309575775,0.24507664053688266,25.32769119753866,0.026561131895368916
78,10,3,3,0.1,3,3,1,0.46246588409267864,18.875753940513796,0.2205337953220923,11.983649974941969,1.5814419127824977
79,10,3,3,0.1,3,3,5,0.08624571116530681,21.294861080698734,0.46854512862837444,78.28987942837644,3.117248749863929
80,10,3,3,0.1,3,3,10,0.12351639337424516,16.57973522921188,0.12189654447398099,10.121908750490356,0.04343021286529034
81,10,3,3,0.1,3,3,20,0.04229459676780715,22.022811029215465,0.05054066658800934,14.188087480015346,0.020154461557887794
82,10,3,3,0.1,3,3,40,0.17866405256198545,19.22418867111208,0.1732489989165306,15.272403400757545,0.02281345063588887
83,10,3,3,0.1,3,3,80,0.23179233521633213,16.560850660288118,0.2270215695377991,11.105010687900164,0.05484160929951502
84,10,3,3,0.1,3,4,1,0.20369859688233272,14.597042712110742,0.21397639989685116,4.492979686244004,1.368090372893323
85,10,3,3,0.1,3,4,5,0.2607583852809205,15.719642687901171,0.24225162005876086,13.669586007982947,0.06440074870630418
86,10,3,3,0.1,3,4,10,0.1327136226573546,25.934222497397506,0.12992609793396673,16.699063057715723,0.02114592574137956
87,10,3,3,0.1,3,4,20,0.03507994363611553,16.91412511108359,0.041747682911579834,15.147274309097412,0.012013270997431014
88,10,3,3,0.1,3,4,40,0.004581622399336522,27.970203030077208,0.009722435752827262,25.199831696691042,0.00524696372989038
89,10,3,3,0.1,3,4,80,0.04132518299305228,15.570574560475887,0.046947874447460604,10.088336995586802,0.017984734130748466
90,10,3,3,0.1,3,5,1,0.4959937236081349,14.042608287642272,0.3922988614794425,10.083048046904933,1.6658500905250722
91,10,3,3,0.1,3,5,5,0.13151333557123351,19.45910573197778,0.1301276055161005,14.930692426397613,0.05860606130045393
92,10,3,3,0.1,3,5,10,0.12486815459456992,20.635564671408225,0.12230903380050272,13.651163392900845,0.02602811515219635
93,10,3,3,0.1,3,5,20,0.12955876119867119,23.61846341119809,0.1271884544988617,14.683760072156534,0.02448072451091777
94,10,3,3,0.1,3,5,40,0.6280992082118343,15.78757843295377,0.6001256937086293,12.535472286869998,0.1001422016773999
95,10,3,3,0.1,3,5,80,0.1658653883370376,22.160361097373862,0.1611281387535656,14.229178785895927,0.023305185228070718
96,10,3,3,0.1,3,6,1,0.13240849563158372,18.584083672251577,0.22012921470139907,7.819225949352622,1.1876263768647528
97,10,3,3,0.1,3,6,5,0.0971720959147715,21.854663712592263,0.10336471170201462,11.185151784379773,0.07142029260241675
98,10,3,3,0.1,3,6,10,0.10809272824610226,19.075957432743795,0.10644930616417013,10.948278583419054,0.03370064845101702
99,10,3,3,0.1,3,6,20,0.036546571147868294,15.13121353717667,0.038949079843129134,10.741100291355806,0.010213321506089354
100,10,3,3,0.1,3,6,40,0.01757876871078076,11.042265807265952,0.026285013897344185,8.221604009211767,0.0206526978386501
101,10,3,3,0.1,3,6,80,0.023147973206549488,19.910399745069384,0.04084938372077148,12.880872715810318,0.026175507553004598
102,10,3,3,0.1,3,7,1,0.09066062802991405,18.512265604952496,0.18507746155265584,6.994325735624485,1.673600653416165
103,10,3,3,0.1,3,7,5,0.04110405436274166,19.036241239083203,0.058362172116297226,16.580154347259892,0.024910358072371578
104,10,3,3,0.1,3,7,10,0.0697240600591612,21.646883596486287,0.07379767496104651,17.030194734879583,0.022132257364025455
105,10,3,3,0.1,3,7,20,0.156341957386897,11.838388313030716,0.15196932109107256,9.44590400381702,0.04346907253034952
106,10,3,3,0.1,3,7,40,0.13072792644896455,11.747229970029064,0.12586342447106943,9.845187441993128,0.030255315884919
107,10,3,3,0.1,3,7,80,0.3306486747462078,18.948050632082875,0.32005755363896227,17.508411434642337,0.052274896596908746
108,10,3,3,0.1,3,8,1,0.19131849769699016,27.368094557367538,0.403815359861911,28.429419803217495,1.9736492328172004
109,10,3,3,0.1,3,8,5,0.013934289383102916,16.37033739159951,0.02841561053008303,11.972205976450665,0.017653233221285175
110,10,3,3,0.1,3,8,10,0.13494132611858428,13.995285896129637,0.12899206223711632,10.872855478751418,0.03246710290588983
111,10,3,3,0.1,3,8,20,0.0635523830435936,29.95010544536654,0.06401556002375022,22.471277104707582,0.010027310643153762
112,10,3,3,0.1,3,8,40,0.04589864178925381,27.474536015541137,0.055270380670921875,25.01967450047658,0.013397697426163046
113,10,3,3,0.1,3,8,80,0.11757369108923531,11.761532429238633,0.11625705848423237,9.137933200015311,0.03329635467583431
114,10,3,3,0.1,3,9,1,0.4274084961677154,15.234369000342467,0.2188455821167621,8.12449680771727,1.520849752259114
115,10,3,3,0.1,3,9,5,0.06709593703844095,32.38235676939406,0.10303946333710078,12.582113041208832,0.10117760204200835
116,10,3,3,0.1,3,9,10,0.07587063334722344,19.200580751984436,0.07708138234825114,14.369870382721308,0.01912584338245536
117,10,3,3,0.1,3,9,20,0.010540402948980659,24.684645632546754,0.021421717096456423,19.592877951470502,0.010334096130340283
118,10,3,3,0.1,3,9,40,0.011567592398057758,8.335269737029716,0.02212427342071126,5.115785999326093,0.027656827745380558
119,10,3,3,0.1,3,9,80,0.04529247622202038,18.37159775942905,0.05068299637539932,14.182194151758807,0.01783139229175237
120,10,3,3,0.1,5,0,1,0.1682097748447608,19.618728286753665,0.07098704639357663,4.765891855262236,1.156366070330391
121,10,3,3,0.1,5,0,5,0.03384591275231572,19.28483928279847,0.060505517886850824,12.073212011703475,0.04641487262806003
122,10,3,3,0.1,5,0,10,0.10503834612866773,16.365369025456406,0.10113181834893699,11.110129889551626,0.027902179628134096
123,10,3,3,0.1,5,0,20,0.140816013636327,22.05056673451933,0.13118457924917368,16.287647890001775,0.03786775529792822
124,10,3,3,0.1,5,0,40,0.16255353170887324,17.012959011783458,0.15000642530685232,15.276321523332152,0.04579679525842528
125,10,3,3,0.1,5,0,80,0.2826227329993931,17.569725559102476,0.25785350316434086,15.377876128527793,0.0618063642988093
126,10,3,3,0.1,5,1,1,0.2745336448129353,15.731708128100545,0.09322372063451342,9.713378839254819,1.2459225152998763
127,10,3,3,0.1,5,1,5,0.007180354389367756,20.39433078937475,0.015124692735752976,16.97718813620402,0.012085514101367252
128,10,3,3,0.1,5,1,10,0.45540838377089404,25.99630559522412,0.4047480905852509,24.61708562957852,0.08260605305407696
129,10,3,3,0.1,5,1,20,0.008380546279524488,19.94745208353035,0.017154683853432977,22.188755098622163,0.00784206743775536
130,10,3,3,0.1,5,1,40,0.04918407306435861,29.877281381175116,0.0586227298747633,24.437174701799858,0.018817373717030374
131,10,3,3,0.1,5,1,80,0.004275069811094141,25.195115923924796,0.009019449423516306,20.079326769400527,0.005265753606611884
132,10,3,3,0.1,5,2,1,0.3621968151510475,17.49300257527341,0.09064972624804472,10.105541859843257,1.1681285861117887
133,10,3,3,0.1,5,2,5,0.06676541879519472,18.15718388582207,0.08779410536723953,11.762971470582011,0.08511397411604352
134,10,3,3,0.1,5,2,10,0.03393509858405327,17.969820738568302,0.044624185053848395,14.359677054510012,0.025151459986823936
135,10,3,3,0.1,5,2,20,0.12503963752565495,29.67452687020356,0.1201416925236991,29.662513868117237,0.020253620844820675
136,10,3,3,0.1,5,2,40,0.026441882160859197,19.39638922139588,0.03842377362543501,13.132501286386804,0.022663022888381627
137,10,3,3,0.1,5,2,80,0.00834096532059747,23.266975612751192,0.01708360789553648,10.74867548128134,0.012710620282749416
138,10,3,3,0.1,5,3,1,0.0017389933256773567,13.330138319076495,0.004946653984749546,5.425504934322941,1.2409915733769321
139,10,3,3,0.1,5,3,5,0.09186911020610898,18.195762999405783,0.09890297131134387,13.569155326053531,0.07153373945563682
140,10,3,3,0.1,5,3,10,0.13000447845503685,18.87510593183965,0.12171993660678111,14.795146099192861,0.038017794290559986
141,10,3,3,0.1,5,3,20,0.1666342637197395,20.85697505790519,0.15816128790439654,16.858770274423552,0.04519982839315004
142,10,3,3,0.1,5,3,40,0.03191967634523498,9.946557023741239,0.038049192946754976,8.48424113317897,0.021132206321664702
143,10,3,3,0.1,5,3,80,0.33278784168339914,13.902400148883087,0.3096085604184488,13.412853819543768,0.08207713699771871
144,10,3,3,0.1,5,4,1,0.1530608458206829,24.625873576994906,0.09026553100866719,9.528169025276384,1.2129530513513327
145,10,3,3,0.1,5,4,5,0.10679093676175912,26.37138873157726,0.1187571849524559,13.160897606381864,0.19449808533378332
146,10,3,3,0.1,5,4,10,0.06692603563520819,14.807772048285628,0.06769367922159968,11.99271516324484,0.02459476778126164
147,10,3,3,0.1,5,4,20,0.21245099041178195,17.4469898959414,0.19452075043191192,12.601102802254927,0.05593138940583029
148,10,3,3,0.1,5,4,40,0.09073280011822102,19.873814869792703,0.08862651945097692,18.93105556832682,0.02234225720137249
149,10,3,3,0.1,5,4,80,0.0930979803920026,12.556316386407202,0.08621644021011317,10.395106818390015,0.03410330086421286
150,10,3,3,0.1,5,5,1,0.5926078521660123,23.47211311495228,0.09420611098139978,9.842067511326624,1.1808971780549837
151,10,3,3,0.1,5,5,5,0.03408783680091207,20.87190765796723,0.06627638157039627,16.37214595989295,0.05739347673572769
152,10,3,3,0.1,5,5,10,0.05098126444878078,31.232264585641982,0.06209482751691968,25.21126911518258,0.021666874236514318
153,10,3,3,0.1,5,5,20,0.22048160848894569,18.075949084296933,0.1962226170087706,14.801418794017296,0.05964057844941622
154,10,3,3,0.1,5,5,40,0.03647310305729147,16.903883068007847,0.04222180438150114,11.587709983841538,0.02052412075517901
155,10,3,3,0.1,5,5,80,0.1583669720046775,20.62928554092796,0.14711017061451728,12.22238286978668,0.039378442764353726
156,10,3,3,0.1,5,6,1,0.5093274341622149,22.674678868264287,0.09754926091764168,17.02246787882327,1.399907125090178
157,10,3,3,0.1,5,6,5,0.025280141079946705,11.613571373483316,0.05120580819102831,7.857308403609572,0.09146767392888648
158,10,3,3,0.1,5,6,10,0.18022607537265484,19.428054340125883,0.16603124231770694,15.830904172974524,0.04209024723943514
159,10,3,3,0.1,5,6,20,0.12308640126927026,15.872160201892738,0.11545160133291524,11.110539246346253,0.03772979863860654
160,10,3,3,0.1,5,6,40,0.15804958016966913,18.313147592220165,0.14516037527022524,12.688186480931755,0.05183033296269751
161,10,3,3,0.1,5,6,80,0.12708620527642514,31.110988804843046,0.1186358403032151,20.304260807068406,0.027897971859820812
162,10,3,3,0.1,5,7,1,0.16474888582235123,34.92323600796348,0.0652849351015924,8.348230509406667,1.0080909652208232
163,10,3,3,0.1,5,7,5,0.13908248488373035,22.120175117173186,0.12181246050768836,11.218229903539774,0.08971972410155801
164,10,3,3,0.1,5,7,10,0.029803611815654683,21.409501420914044,0.040084638603743554,16.08262032271856,0.012309494449072159
165,10,3,3,0.1,5,7,20,0.02725796320422117,10.421304255053148,0.03272497308775166,6.185426750033847,0.02967833364499882
166,10,3,3,0.1,5,7,40,0.03788249547257758,14.607818571677697,0.04688924067167598,12.23129783779852,0.02587437254809737
167,10,3,3,0.1,5,7,80,0.2682194548540625,20.04485276081362,0.24062446983741945,11.435272182901848,0.08086144239308819
168,10,3,3,0.1,5,8,1,0.005949630120079208,19.31828931432461,0.016852590871045944,18.266756436734838,1.6391965151452723
169,10,3,3,0.1,5,8,5,0.11497337430886338,22.009069293744442,0.09949746983662679,18.29293165430668,0.05736808968917762
170,10,3,3,0.1,5,8,10,0.11302711699720908,27.185648632352656,0.10522370426439111,19.466805637025853,0.0205089901047613
171,10,3,3,0.1,5,8,20,0.15528757999414972,20.273336812644125,0.14457475542903664,18.45268502922805,0.0363173022667951
172,10,3,3,0.1,5,8,40,0.19781375927636868,18.360576847410794,0.18347518969247953,16.347427705303318,0.036445959905768315
173,10,3,3,0.1,5,8,80,0.10853185240870325,9.469557023024397,0.10172165786075586,7.259662897163476,0.050422088290200576
174,10,3,3,0.1,5,9,1,0.14841923375861155,22.748172278184104,0.08664817652562931,6.9552336941873145,1.2729750099188648
175,10,3,3,0.1,5,9,5,0.3064479648140331,15.094756603791838,0.24042272705988574,12.308515989122103,0.16144057996281402
176,10,3,3,0.1,5,9,10,0.09664611327168973,16.92158391606563,0.08999310550832235,11.716234655324428,0.033173403750585535
177,10,3,3,0.1,5,9,20,0.0699442883499217,17.074489156793554,0.06969359270297622,12.056867548469864,0.02592957677829449
178,10,3,3,0.1,5,9,40,0.02471681375560099,18.502050692343175,0.03420328916824849,16.439830408627543,0.015902948484959246
179,10,3,3,0.1,5,9,80,0.31141308467561346,20.225365160427025,0.2811385828183545,14.950747695356492,0.07311519377213363
180,10,3,3,0.1,10,0,1,0.003919221778737717,29.830596044989285,0.009274087305910228,19.774361613871456,1.1079748076526232
181,10,3,3,0.1,10,0,5,0.06074619772037221,9.638808552440349,0.05731750838217261,7.9706633071396364,0.10170822822498249
182,10,3,3,0.1,10,0,10,0.05373106283124428,23.396322381009295,0.05493091581553062,19.008077533333577,0.027265705831334332
183,10,3,3,0.1,10,0,20,0.8909405677738872,23.813766486797512,0.6907044875741403,32.71579836272304,0.2430589645480675
184,10,3,3,0.1,10,0,40,0.022781256610210448,13.971393211808284,0.03051556158505878,9.69619223773631,0.01943928056598025
185,10,3,3,0.1,10,0,80,0.2353716779292103,22.76958285741116,0.1845633275315661,18.73224315500749,0.08092060684707233
186,10,3,3,0.1,10,1,1,0.06347682377190349,14.26106899036081,0.08222648848051618,5.005643100524453,0.9708126177415227
187,10,3,3,0.1,10,1,5,0.10232769238027052,14.653365797400912,0.07183082352556586,10.020717160664613,0.12027936669164568
188,10,3,3,0.1,10,1,10,0.09031876490342845,24.619472406567414,0.07539752462819894,17.740472604898358,0.02620056263022652
189,10,3,3,0.1,10,1,20,0.011204713905155993,26.79587199436196,0.02275834249782134,25.8273229708325,0.009991393124401973
190,10,3,3,0.1,10,1,40,0.04060559653311951,25.344471078608333,0.043561009024323055,14.242290007850679,0.02486013923665931
191,10,3,3,0.1,10,1,80,0.0761359634408078,17.767793270214522,0.06611947721995083,15.325595570997084,0.028537080876262416
192,10,3,3,0.1,10,2,1,0.10478163887727604,14.265488198702863,0.0615143133020853,3.405937910719612,1.099438109784652
193,10,3,3,0.1,10,2,5,0.47451853712362,22.28834328041362,0.20939397395061174,21.612068515220884,0.34728783769686955
194,10,3,3,0.1,10,2,10,0.027998923275581327,30.788319510456716,0.04080373658115863,25.355789970962615,0.017358869803128608
195,10,3,3,0.1,10,2,20,0.054787074507341334,19.265475903018007,0.053383636928867,19.204797569781537,0.020987042714713768
196,10,3,3,0.1,10,2,40,0.020904200395246066,33.21827251809021,0.03571621055173031,19.937579287354794,0.017860875166520226
197,10,3,3,0.1,10,2,80,0.005509338986828569,17.241470501884756,0.011492327847790562,12.836834864919929,0.008750640840334126
198,10,3,3,0.1,10,3,1,0.13543841924004368,10.49604295049803,0.06403820033160751,4.328083970143237,1.1896063018325962
199,10,3,3,0.1,10,3,5,0.11958200900463362,27.2138837252112,0.1022801360428796,18.098952675422215,0.13600803932749111
200,10,3,3,0.1,10,3,10,0.17557549840216283,22.80834514441669,0.1344274663650524,15.818042998825877,0.06874238272011843
201,10,3,3,0.1,10,3,20,0.09536067572115159,21.937863822946014,0.08404322468356772,18.750670842264867,0.03513394112041697
202,10,3,3,0.1,10,3,40,0.118653297755094,20.879487677118355,0.10064941014774356,19.40369874806726,0.03966104146294892
203,10,3,3,0.1,10,3,80,0.02736690764196653,11.778137819853663,0.03697019650594899,9.631705526501515,0.02142422274030237
204,10,3,3,0.1,10,4,1,0.06010408116316172,18.10880344085772,0.0705834689043955,7.887964477038652,1.2852290637434447
205,10,3,3,0.1,10,4,5,0.009482693329242795,14.186730860882971,0.019433746125503568,10.988179756923646,0.02170535960966058
206,10,3,3,0.1,10,4,10,0.16899680870356315,11.810907545227566,0.12731491025215477,9.35194078627592,0.07099690000815341
207,10,3,3,0.1,10,4,20,0.16768181107840813,23.679091004945192,0.1343497437191854,19.87298868138362,0.04929514197118137
208,10,3,3,0.1,10,4,40,0.004476037549267701,15.289381695855573,0.009276308349953391,12.76654631691216,0.006503671752921111
209,10,3,3,0.1,10,4,80,0.074628181488115,16.40872983322017,0.06370002851504504,9.037271860761287,0.04496439588167483
210,10,3,3,0.1,10,5,1,0.13570922032273558,18.792467957811986,0.09149595006598772,6.715433808423637,0.9889979224275002
211,10,3,3,0.1,10,5,5,0.10214233573152944,18.257457700245496,0.08447264018496978,10.576233396357312,0.2629442174565328
212,10,3,3,0.1,10,5,10,0.06329861676874438,16.38104101761202,0.060450573777825596,11.319213820844487,0.042636968843393214
213,10,3,3,0.1,10,5,20,0.30208983254123506,15.112697196427781,0.22723325296958666,12.00095029268011,0.14743429102681205
214,10,3,3,0.1,10,5,40,0.2527797478332299,15.128071134587728,0.19343359504480903,13.534501334788693,0.10116685581119063
215,10,3,3,0.1,10,5,80,0.2168571511819322,30.937485419761593,0.1676315915763973,23.105570145866473,0.05063542533211269
216,10,3,3,0.1,10,6,1,0.25958558128582154,16.55383975209476,0.08426856633613158,9.505190858850083,0.843744021520792
217,10,3,3,0.1,10,6,5,0.018017773290143375,25.639391069682258,0.037171652427496614,16.192874132936954,0.09294723608202955
218,10,3,3,0.1,10,6,10,0.1407672349802663,16.68231634072669,0.11039267173697336,15.59485824410221,0.06390406748458313
219,10,3,3,0.1,10,6,20,0.08297102774693978,13.090478739115195,0.06888021607576952,8.901255179312585,0.055066704414793395
220,10,3,3,0.1,10,6,40,0.15575908780198944,16.163356422714376,0.12482657966709343,13.297722922465475,0.05687189543704019
221,10,3,3,0.1,10,6,80,0.11104433721054173,18.257438116696655,0.09222969567759128,10.892789562132135,0.07104131570410892
222,10,3,3,0.1,10,7,1,0.07866087312440292,12.652945518218287,0.0687775293993942,4.761258700007005,0.7997397504003948
223,10,3,3,0.1,10,7,5,0.04405652664985452,7.755942531469011,0.04328924883301255,5.320861714041931,0.07948738172503123
224,10,3,3,0.1,10,7,10,0.012907710757054434,23.551639208452176,0.026152861236745286,14.064030596401004,0.015039055278861695
225,10,3,3,0.1,10,7,20,0.05560754545750463,24.74843368325572,0.05328971015740844,14.406306141701071,0.02894615133057007
226,10,3,3,0.1,10,7,40,0.06447524313948186,16.09135590006471,0.05688645629844034,14.373698755389317,0.02323658517044537
