,n,t,r,sigma,r_fit,rep,d,loss_true,max_qnorm_ub_true,loss_fit,max_qnorm_ub_fit,gen_err_fit
0,20,3,3,0.0,3,0,3,0.0,9.834276159708446,0.09953187529589282,18.892532595622555,2.3644277970456753
1,20,3,3,0.0,3,0,7,0.0,10.140730188913926,0.3472734290971075,80.29814309923255,3.016480447747039
2,20,3,3,0.0,3,0,11,0.0,8.533547475947453,0.015309521269744109,7.632648048314421,0.018455562972061544
3,20,3,3,0.0,3,0,15,0.0,7.423482427529971,0.009873718727675524,7.345901428528179,0.012125553009505087
4,20,3,3,0.0,3,1,3,0.0,8.186038068913597,0.05753237688737778,6.5957756590872725,1.6918913561226436
5,20,3,3,0.0,3,1,7,0.0,9.037318584477218,0.2716207256092576,166.61650545421108,4.197550728507422
6,20,3,3,0.0,3,1,11,0.0,9.288878838307589,0.28136507465913124,131.95813850230255,5.888370410669427
7,20,3,3,0.0,3,1,15,0.0,8.291643526105895,0.00801878312022618,7.517050463858982,0.008034656002471358
8,20,3,3,0.0,3,2,3,0.0,9.790921537118885,0.06092337126587564,9.525318581880418,1.7911547924597762
9,20,3,3,0.0,3,2,7,0.0,8.631221391989737,0.277823835216015,103.030278766629,6.347397292195619
10,20,3,3,0.0,3,2,11,0.0,9.785818589046082,0.01803709460424624,8.194013672070232,0.02105924631526562
11,20,3,3,0.0,3,2,15,0.0,9.13084400678178,0.008911549534601618,8.107559698890734,0.009455985017324118
12,20,3,3,0.0,3,3,3,0.0,8.179537335105712,0.07024191395794158,17.250881830764357,2.345470088797423
13,20,3,3,0.0,3,3,7,0.0,8.215584155744132,0.4652585623706792,122.46941107853715,6.386268904444416
14,20,3,3,0.0,3,3,11,0.0,7.702080862821014,0.014872622363195545,6.580401342167244,0.01922795869429224
15,20,3,3,0.0,3,3,15,0.0,7.99010859667559,0.008365716390467402,7.1456445701699955,0.009696534584974614
16,20,3,3,0.0,3,4,3,0.0,8.52554093904058,0.11665978419137576,20.87357919522302,2.788606820595109
17,20,3,3,0.0,3,4,7,0.0,6.879479625217978,0.0259592526429524,5.722682651932686,0.03418901828639657
18,20,3,3,0.0,3,4,11,0.0,8.139809166075086,0.3768933168922515,166.55542377523358,9.344664262929964
19,20,3,3,0.0,3,4,15,0.0,8.109157592415322,0.009489539048137553,7.567195028786587,0.011212018209684522
20,20,3,3,0.0,3,5,3,0.0,8.829708811864192,0.07875084843571357,18.10363316899493,2.58712002554974
21,20,3,3,0.0,3,5,7,0.0,6.90057577733105,0.028962750349066566,5.39645676152679,0.04095632165937562
22,20,3,3,0.0,3,5,11,0.0,9.795249698799255,0.01787159894591265,8.718760468768831,0.02053339598685143
23,20,3,3,0.0,3,5,15,0.0,8.37186419231821,0.008417289498676109,7.650941365526338,0.008688842684334192
24,20,3,3,0.0,8,0,3,0.0,9.115613840566962,0.04546675973548503,3.7690577927791047,1.0740009890998954
25,20,3,3,0.0,8,0,7,0.0,10.282399119325945,0.029392895376760694,6.798331832093765,0.11441540736261682
26,20,3,3,0.0,8,0,11,0.0,7.952470230948415,0.014394105830938059,7.1400205084621255,0.02070890639361372
27,20,3,3,0.0,8,0,15,0.0,8.33968815075095,0.010501412507682,7.671639720205222,0.050885572800081845
28,20,3,3,0.0,8,1,3,0.0,7.659375855771654,0.047390732128304386,4.341933178755145,1.1095645710413742
29,20,3,3,0.0,8,1,7,0.0,7.873807845847586,0.026641115243677124,6.700034556464152,0.04891443749498417
30,20,3,3,0.0,8,1,11,0.0,8.497106948401923,0.014496393564057663,7.441168845942609,0.031432380522554725
31,20,3,3,0.0,8,1,15,0.0,7.829300646361167,0.009687955269037509,7.11257945140259,0.012565757089855328
32,20,3,3,0.0,8,2,3,0.0,7.260005998733957,0.050597995921709084,4.730862254423494,1.060685479075153
33,20,3,3,0.0,8,2,7,0.0,8.167758302500282,0.03426820470241534,6.4166448523798865,0.10744416848866488
34,20,3,3,0.0,8,2,11,0.0,9.322043957689996,0.015686977872479666,7.870751526129756,0.031348542962099976
35,20,3,3,0.0,8,2,15,0.0,7.388716391216276,0.007980575670571912,6.4823615024657695,0.015893241834992248
36,20,3,3,0.0,8,3,3,0.0,10.761524700511215,0.04373915584691905,3.79011858153349,1.1334873507323153
37,20,3,3,0.0,8,3,7,0.0,8.808176738194803,0.029528068424819958,6.727283760118882,0.06360623827936339
38,20,3,3,0.0,8,3,11,0.0,8.601576322407544,0.017043257179510534,7.187772725883421,0.029004778185776573
39,20,3,3,0.0,8,3,15,0.0,9.69926684346859,0.011639864877269781,8.911943977523888,0.01587713329949827
40,20,3,3,0.0,8,4,3,0.0,10.598050340076135,0.047503165219583046,4.017626029603714,1.0876421100676386
41,20,3,3,0.0,8,4,7,0.0,7.918020219810906,0.035844324023089104,6.9065073019004855,0.13058528748331694
42,20,3,3,0.0,8,4,11,0.0,8.178698084735963,0.015338840045638501,7.617353071552646,0.03446726390343731
43,20,3,3,0.0,8,4,15,0.0,6.541556217152456,0.007538067281995083,5.808159583954892,0.009232154922812683
44,20,3,3,0.0,8,5,3,0.0,9.469812496208124,0.050518320776015736,4.512206863876876,1.0986866211353985
45,20,3,3,0.0,8,5,7,0.0,8.827069341686075,0.03163673069509798,6.324317347644758,0.11942876818147585
46,20,3,3,0.0,8,5,11,0.0,7.864860748620191,0.013993283522548344,7.027306623403772,0.020691507292705618
47,20,3,3,0.0,8,5,15,0.0,9.948008024541938,0.011009981854326896,8.868508817561336,0.012054503375802599
48,20,3,3,0.0,16,0,3,0.0,9.148465161039354,0.042552364789131915,3.887703775679428,1.0199725290660573
49,20,3,3,0.0,16,0,7,0.0,7.5772357658907366,0.029396971018698956,5.2882988908421185,0.08794013716277763
50,20,3,3,0.0,16,0,11,0.0,7.711744463878151,0.015130835671523249,6.729003438529731,0.044481650346943354
51,20,3,3,0.0,16,0,15,0.0,7.890316348052328,0.00798562483508265,7.171155326038229,0.009417150181885242
52,20,3,3,0.0,16,1,3,0.0,8.00365518821258,0.050534226292381676,4.570619648141247,1.0364961199209601
53,20,3,3,0.0,16,1,7,0.0,8.905300128220347,0.03113097118720737,6.014084354476816,0.09687968426981877
54,20,3,3,0.0,16,1,11,0.0,7.523589606118417,0.012633831515533466,6.620406306572618,0.02561815420449562
55,20,3,3,0.0,16,1,15,0.0,9.736414359859099,0.011467966529942607,8.285888456242182,0.02733988249639453
56,20,3,3,0.0,16,2,3,0.0,10.497857232516395,0.05063888362058554,5.287507212109081,1.0106922686841575
57,20,3,3,0.0,16,2,7,0.0,7.524957703072063,0.027180970264669552,6.297942927098441,0.04577543385506377
58,20,3,3,0.0,16,2,11,0.0,9.573940556608072,0.016090696560159337,7.380126394357036,0.0620647400421895
59,20,3,3,0.0,16,2,15,0.0,10.288669707501056,0.00945829972330144,8.904364355436586,0.014922778450343718
60,20,3,3,0.0,16,3,3,0.0,8.69755600244995,0.050706819301104114,4.5898141969417,1.0074686739759318
61,20,3,3,0.0,16,3,7,0.0,9.326400905599074,0.03181913307842499,6.635754836281112,0.09777201026565344
62,20,3,3,0.0,16,3,11,0.0,8.103724343062071,0.015311476116521344,7.118197085780815,0.026208910935324247
63,20,3,3,0.0,16,3,15,0.0,9.772900295750585,0.012938884461667714,8.63705864616715,0.02608759790219947
64,20,3,3,0.0,16,4,3,0.0,8.496193452822368,0.05058155744802592,4.269739383725543,1.0375551851096387
65,20,3,3,0.0,16,4,7,0.0,8.45963273947671,0.02910969007762075,6.226529226943499,0.08059589000681773
66,20,3,3,0.0,16,4,11,0.0,9.652356246133662,0.016740814025186665,7.474675631725562,0.03850253291259465
67,20,3,3,0.0,16,4,15,0.0,8.289050731145574,0.009669038417636742,7.801472897133974,0.018571857459223736
68,20,3,3,0.0,16,5,3,0.0,8.303699039975966,0.05033779769213224,3.86751233995333,1.054525140042293
69,20,3,3,0.0,16,5,7,0.0,8.755952708877906,0.029630701200296282,6.003734081637654,0.12959621009379396
70,20,3,3,0.0,16,5,11,0.0,7.642756590910779,0.0150264848551647,6.721410031666288,0.024765008072521147
71,20,3,3,0.0,16,5,15,0.0,8.971859202722163,0.011072374888395962,7.93327548390964,0.021839643546426122
72,20,3,3,0.0,32,0,3,0.0,7.470948984170902,0.04697182168776246,3.605930888473081,1.0141580718647991
73,20,3,3,0.0,32,0,7,0.0,8.578707930597915,0.029794313810325677,5.951494289262504,0.09207785854237521
74,20,3,3,0.0,32,0,11,0.0,8.81028326966824,0.01711854119850546,7.406972515464757,0.032895698180993575
75,20,3,3,0.0,32,0,15,0.0,8.986965775030836,0.00822421320239037,8.012632181898915,0.021938318566225645
76,20,3,3,0.0,32,1,3,0.0,8.566350599498527,0.05051415159153735,4.1543536186944925,1.0032058924433758
77,20,3,3,0.0,32,1,7,0.0,8.273808893275845,0.030122705615700723,5.904593027248528,0.09867001427379357
78,20,3,3,0.0,32,1,11,0.0,10.277810004792256,0.01749310167451845,7.4572370012667255,0.03342991255146915
79,20,3,3,0.0,32,1,15,0.0,7.422052179806099,0.008603935095722428,6.85050443853078,0.013929045223718349
80,20,3,3,0.0,32,2,3,0.0,6.393600896651748,0.050510156988393395,4.96685040614126,1.0261385219003916
81,20,3,3,0.0,32,2,7,0.0,8.641409313773055,0.03002974149466056,6.448762117650928,0.09428129529488535
82,20,3,3,0.0,32,2,11,0.0,6.883065178319669,0.012137507242983339,5.92979299374367,0.02122553924819659
83,20,3,3,0.0,32,2,15,0.0,9.053433182774578,0.009594896354336089,7.9225312860841415,0.02214740288867353
84,20,3,3,0.0,32,3,3,0.0,8.40121836979627,0.05051607801764722,4.370923224425421,1.0391520333668522
85,20,3,3,0.0,32,3,7,0.0,7.341913893403266,0.024679159549934354,5.62712144749363,0.0727167292289474
86,20,3,3,0.0,32,3,11,0.0,7.044344363503282,0.01150829087591323,6.408420379011526,0.017021252980418577
87,20,3,3,0.0,32,3,15,0.0,8.23998162793798,0.008901459769910363,7.489599022951892,0.023640635578012485
88,20,3,3,0.0,32,4,3,0.0,8.231189666299358,0.05056754720428601,5.024287544327381,1.0069169907678923
89,20,3,3,0.0,32,4,7,0.0,8.906329335282813,0.03038751574983929,6.576079317838936,0.0892131892768412
90,20,3,3,0.0,32,4,11,0.0,9.784471231295177,0.01875723453126753,7.854148802404071,0.03609613395873188
91,20,3,3,0.0,32,4,15,0.0,8.143650950249793,0.008575451203346553,7.087216691231054,0.022357090327406664
92,20,3,3,0.0,32,5,3,0.0,7.418125855059056,0.041952323412742736,3.7665691626177398,0.9979924933756489
93,20,3,3,0.0,32,5,7,0.0,7.135481790513694,0.028050483549291058,5.662871271653819,0.05515096561874342
94,20,3,3,0.0,32,5,11,0.0,7.5681496850210594,0.012502496982712242,6.65751926017123,0.020687400053818354
95,20,3,3,0.0,32,5,15,0.0,9.979242598435505,0.012902783825245458,8.550180980627818,0.024568726771590724
96,20,3,3,0.0,64,0,3,0.0,9.493144964150884,0.050654012846096545,5.2010671722602755,0.9921343326812215
97,20,3,3,0.0,64,0,7,0.0,9.303288661040163,0.032994402297178906,6.324595042239377,0.12291339105534879
98,20,3,3,0.0,64,0,11,0.0,9.085474868519048,0.017340896838216532,7.831541510481941,0.03179868079422752
99,20,3,3,0.0,64,0,15,0.0,10.211851853705733,0.013492468235143282,8.650736578107217,0.029515533202025414
100,20,3,3,0.0,64,1,3,0.0,6.922048773841795,0.04768634449976342,3.8319255297949644,1.007575673680698
101,20,3,3,0.0,64,1,7,0.0,9.12792779057053,0.03124782234818463,7.083344751321811,0.17735331865752796
102,20,3,3,0.0,64,1,11,0.0,9.993036226821866,0.01890516097959219,7.972269200237031,0.12190506429500424
103,20,3,3,0.0,64,1,15,0.0,9.557529116381176,0.012401127592278759,8.335574642621113,0.019782239515682167
104,20,3,3,0.0,64,2,3,0.0,8.198267789368888,0.050353057989562695,3.658765210021642,0.9939405044864542
105,20,3,3,0.0,64,2,7,0.0,8.054643653838266,0.028299961415456706,5.903119810737036,0.08174960549165187
106,20,3,3,0.0,64,2,11,0.0,8.67954337949972,0.016615797301811716,7.220242960864853,0.031961989594587806
107,20,3,3,0.0,64,2,15,0.0,11.0849036036538,0.012105011190341547,9.469260212243437,0.019148549720384985
108,20,3,3,0.0,64,3,3,0.0,9.593619319240613,0.05053659175451367,3.904417190519235,0.9959310480547753
